anio	mes	nombre_departamento_indec	sector_nombre	puestos_sector_privado
2020	1	Colón	Agricultura, ganadería, caza y servicios relacionados	674
2020	1	Colón	Silvicultura y explotación forestal	159
2020	1	Colón	Pesca y acuicultura	103
2020	1	Colón	Extracción de petróleo crudo y gas natural	NA
2020	1	Colón	Extracción de minerales metálicos	NA
2020	1	Colón	Extracción de otros minerales	77
2020	1	Colón	Actividades de apoyo al petróleo y la minería	3
2020	1	Colón	Elaboración de productos alimenticios	2712
2020	1	Colón	Elaboración de bebidas	9
2020	1	Colón	Elaboración de productos textiles	4
2020	1	Colón	Elaboración de prendas de vestir	22
2020	1	Colón	Elaboración de productos de cuero y calzado	3
2020	1	Colón	Elaboración de productos de madera	284
2020	1	Colón	Elaboración de productos de papel	6
2020	1	Colón	Imprentas y editoriales	5
2020	1	Colón	Fabricación de sustancias químicas	8
2020	1	Colón	Elaboracion de productos farmacéuticos	5
2020	1	Colón	Fabricación de productos de caucho y vidrio	19
2020	1	Colón	Fabricación de productos de vidrio y otros minerales no metálicos	12
2020	1	Colón	Fabricación de metales comunes	NA
2020	1	Colón	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	40
2020	1	Colón	Fabricación de equipo eléctrico	6
2020	1	Colón	Fabricación de maquinarias	76
2020	1	Colón	Fabricación de vehículos automotores, remolques y semirremolques	11
2020	1	Colón	Fabricación de otros equipos de transporte	NA
2020	1	Colón	Fabricación de muebles	20
2020	1	Colón	Otras industrias manufactureras	NA
2020	1	Colón	Reparación e instalación de maquinaria y equipo	3
2020	1	Colón	Suministro de electricidad, gas, vapor y aire acondicionado	18
2020	1	Colón	Captación, tratamiento y distribución de agua	4
2020	1	Colón	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	NA
2020	1	Colón	Construcción de edificios y partes	77
2020	1	Colón	Obras de ingeniería civil	92
2020	1	Colón	Actividades especializadas de construcción	30
2020	1	Colón	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	97
2020	1	Colón	Comercio al por mayor excepto autos y motos	429
2020	1	Colón	Comercio al por menor excepto autos y motos	1053
2020	1	Colón	Transporte terrestre y por tuberías	468
2020	1	Colón	Transporte acuático	66
2020	1	Colón	Almacenamiento y actividades de apoyo al transporte	45
2020	1	Colón	Servicio de correo y mensajería	11
2020	1	Colón	Servicios de alojamiento	398
2020	1	Colón	Servicios de expendio de alimentos y bebidas	285
2020	1	Colón	Edición	17
2020	1	Colón	Servicios audiovisuales	NA
2020	1	Colón	Programación y transmisiones de TV y radio	69
2020	1	Colón	Telecomunicaciones	12
2020	1	Colón	Servicios de programación, consultoría informática y actividades conexas	39
2020	1	Colón	Actividades de procesamiento de información	3
2020	1	Colón	Servicios financieros (excepto seguros y pensiones)	64
2020	1	Colón	Servicios de seguros, reaseguros y pensiones	59
2020	1	Colón	Servicios auxiliares de la actividad financiera y de seguros	23
2020	1	Colón	Servicios inmobiliarios	28
2020	1	Colón	Servicios jurídicos y de contabilidad	58
2020	1	Colón	Servicios y asesoramiento de dirección y gestión empresarial	21
2020	1	Colón	Servicios de arquitectura e ingeniería	15
2020	1	Colón	Investigación y desarrollo científico	NA
2020	1	Colón	Servicios de publicidad e investigación de mercado	NA
2020	1	Colón	Otras actividades profesionales, científicas y técnicas	7
2020	1	Colón	Servicios veterinarios	3
2020	1	Colón	Alquiler y arrendamiento	36
2020	1	Colón	Servicios de obtención y dotación de personal	NA
2020	1	Colón	Agencias de viajes, servicios de reservas y actividades conexas	10
2020	1	Colón	Actividades de investigación y seguridad	46
2020	1	Colón	Servicios a edificios y actividades de jardinería	48
2020	1	Colón	Actividades administrativas y de apoyo a oficinas y empresas	23
2020	1	Colón	Administración pública, defensa y seguridad social	NA
2020	1	Colón	Enseñanza	386
2020	1	Colón	Servicios de salud humana	214
2020	1	Colón	Actividades de atención en instituciones	26
2020	1	Colón	Actividades de atención sin alojamiento	NA
2020	1	Colón	Servicios artísticos y de espectáculos	NA
2020	1	Colón	Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.	4
2020	1	Colón	Juegos de azar y apuestas	22
2020	1	Colón	Actividades deportivas, recreativas y de entretenimiento	67
2020	1	Colón	Servicios de asociaciones	339
2020	1	Colón	Reparación de computadoras y equipos de uso doméstico	3
2020	1	Colón	Otros servicios personales	20
2020	1	Colón	Otros sectores	19
2020	1	Concordia	Agricultura, ganadería, caza y servicios relacionados	4235
2020	1	Concordia	Silvicultura y explotación forestal	237
2020	1	Concordia	Pesca y acuicultura	4
2020	1	Concordia	Extracción de petróleo crudo y gas natural	5
2020	1	Concordia	Extracción de minerales metálicos	NA
2020	1	Concordia	Extracción de otros minerales	56
2020	1	Concordia	Actividades de apoyo al petróleo y la minería	15
2020	1	Concordia	Elaboración de productos alimenticios	975
2020	1	Concordia	Elaboración de bebidas	181
2020	1	Concordia	Elaboración de productos textiles	6
2020	1	Concordia	Elaboración de prendas de vestir	13
2020	1	Concordia	Elaboración de productos de madera	1093
2020	1	Concordia	Elaboración de productos de papel	7
2020	1	Concordia	Imprentas y editoriales	32
2020	1	Concordia	Fabricación de sustancias químicas	114
2020	1	Concordia	Elaboracion de productos farmacéuticos	25
2020	1	Concordia	Fabricación de productos de caucho y vidrio	25
2020	1	Concordia	Fabricación de productos de vidrio y otros minerales no metálicos	47
2020	1	Concordia	Fabricación de metales comunes	13
2020	1	Concordia	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	96
2020	1	Concordia	Fabricación de productos de informática, de electrónica y de óptica	10
2020	1	Concordia	Fabricación de equipo eléctrico	14
2020	1	Concordia	Fabricación de maquinarias	25
2020	1	Concordia	Fabricación de vehículos automotores, remolques y semirremolques	29
2020	1	Concordia	Fabricación de otros equipos de transporte	NA
2020	1	Concordia	Fabricación de muebles	10
2020	1	Concordia	Otras industrias manufactureras	22
2020	1	Concordia	Reparación e instalación de maquinaria y equipo	27
2020	1	Concordia	Suministro de electricidad, gas, vapor y aire acondicionado	236
2020	1	Concordia	Captación, tratamiento y distribución de agua	26
2020	1	Concordia	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	16
2020	1	Concordia	Descontaminación y otros servicios	NA
2020	1	Concordia	Construcción de edificios y partes	538
2020	1	Concordia	Obras de ingeniería civil	462
2020	1	Concordia	Actividades especializadas de construcción	235
2020	1	Concordia	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	387
2020	1	Concordia	Comercio al por mayor excepto autos y motos	1490
