nombre_parque	departamento	lat	lon	enlace	referente_parque	telefono	email	vias_acceso	distancias_puertos_aerop	sup_total_ha	cant_lotes	sup_disponible_ha	cant_empresas	cant_emp_proyeccion	cant_emp_exportadoras	cant_personas_empleadas	pct_sup_disponible	infra_alumbrado	infra_cerco	infra_energia	infra_gas	infra_accesos	infra_desagues	infra_agua	infra_conectividad	infra_efluentes	infra_seguridad	otros_servicios	promociones_municipales	rubros_instalados	empresas_instaladas	score_servicios	tiene_promocion	media_servicios	desvio_servicios	sup_para_radio	radio_px
Parque Industrial Paraná	Paraná	-31.77203564	-60.44795567	https://parquesindustriales.entrerios.gov.ar/parques/1	Noelia Zampa	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12 y Nº 18	Puerto Diamante: 46 km | Puerto Rosario: 200 km | Puerto Concepción del Uruguay: 258 km | Puerto Ibicuy: 360 km | Puerto Zárate: 400 km | Aeropuerto Justo José de Urquiza, Paraná: 5 km	150	102	20	35	10	16	3002	13.3	1	1	1	1	1	1	1	1	1	1	Salón de Usos Múltiples, Oficinas de administración, Sala de primeros auxilios, etc.	Los establecimientos industriales que se radiquen por primera vez gozarán del 100% de exención en el pago de los tributos municipales durante los primeros cinco años y del 50% de exención en el transcurso de los siguientes cinco años corridos. Asimismo, tendrán la posibilidad de ampliar los beneficios por cinco años más, en función de las inversiones que realicen en maquinaria, superficie construida o planta de personal.. Financiamiento para la compra de lotes	Alimentos, Bebidas, Combustibles y Energía, Industrias Metálicas, Madera, Papel, Edición e Impresión, Maquinaria y Equipo, Muebles, Colchones y Otras Industrias Manufactureras, Otros Equipos, Aparatos e Instrumentos, Productos De Caucho y Plástico, Productos De Metal, Productos Minerales No Metálicos, Sustancias y Productos Químicos, Productos Téxtiles, Indumentaria, Cuero y Calzado, Servicios Científicos Tecnológicos, Servicios Lógisticos y Transporte, Vehículos y Material de Transporte	Industrias Zunino S.R.L., Master Plast S.R.L., Petropack S.A., Aire Visual S.R.L., Lafedar S.A., Punto Gráfico S.R.L., Fenovo S.A., Luis Losi S.A., Espumas del Litoral S.A., Santini Argentina S.R.L., Itape S.A., Indumatics S.A., Molinos San José S.A., Alimentos Vida S.A., Jose Carlos Marcelo Colobig, Nexo S.A., Alimentos Del Paraná S.A., Sucesión de Víctor Pascual, Aberturas Valentinuz S.A., Alpina S.A., Ejemplar S.A., Hillairet Daniel Salvador, Agua Nuestra S.A., Ecoplast S.R.L., Sorbalok S.A., Norberto Levy, Carmagnac Jorge Alberto, Szczech S.A., La Unión S.A., Marcelo Eduardo Lerch, Vitrex S.A., Fundiciones El Litoral S.R.L., Metalparaná, El Caserito S.A., Longvie S.A., Gaberione Carlos Alberto, Grupo Celta S.A.	10	TRUE	4.54054054054054	5.45945945945946	150	15.629268292682926
Parque Industrial Gualeguaychú - CODEGU	Gualeguaychú	-33.033858	-58.606761	https://parquesindustriales.entrerios.gov.ar/parques/2	George Thomas Fogg	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 14 y Provincial Nº 16	Puerto Concepción del Uruguay: 70 km | Puerto Ibicuy: 120 km | Aeródromo Gualeguaychú: 3 km	214	150	90	48	34	14	2400	42.1	1	1	1	1	1	1	1	1	1	1	Salón de Usos Múltiples, Oficinas de administración, Servicio contra incendios con instalación hidrante para auto bombas frente a cada parcela, etc.	Exención tasa municipal de rentas por 10 años.. La venta de lotes es privada ya que es un Parque Privado.	Alimentos, Bebidas, Combustibles y Energía, Madera, Papel, Edición e Impresión, Maquinaria y Equipo, Muebles, Colchones y Otras Industrias Manufactureras, Productos De Metal, Sustancias y Productos Químicos, Productos Téxtiles, Indumentaria, Cuero y Calzado, Servicios Lógisticos y Transporte, Vehículos y Material de Transporte	Complejo Portuario Euroamerica S.A., Dario A. Forni, Domca S.A., Ejecutora de Obras S.R.L., Entre Rios Crushing S.A., From Arg., Futura Hnos. S.R.L., Grifmac, Grupo Campo S.A., Guarani S.A., Icma S.R.L., Imperial Cord S.A., Insumed Azul S.A., Laboratorios Imvi S.A., Laboratorios Pyam S.A., S.A. Lito Gonella e Hijo ICFI, Metalúrgica Hermann S.R.L., Mezclamos S.A., Palletizate S.R.L., Rainbow Agrosciences S.A., Ralitor S.A., Reciclad S.R.L., Rodados S.A., Rontaltex S.A., R. P. B. S.A., Sanovo Greenpack, Sidus, Silicato S.A., Sommer S.A., Transporte Mostto, Unilever de Argentina S.A., Unionbat S.A., Von Tefilo, Wood Products	10	TRUE	4.54054054054054	5.45945945945946	214	20
Parque Industrial Concordia	Concordia	-31.416091	-58.088269	https://parquesindustriales.entrerios.gov.ar/parques/3	Luis Alberto Kolarik +54 9 345 4145316	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Autovía Nº 14 y Ruta Nacional Nº 18	Puerto Concordia: 10 km. | Puerto Concepción del Uruguay: 100 km. | Aeropuerto Concordia: 15 km.	100	0	3	33	3	2	1500	3	1	1	1	1	1	1	1	1	1	1	Balanza de 800 toneladas certificado por INTI	Venta de lotes, financiamiento, reducción de tributos municipales, provinciales. Reducción costo de la energía eléctrica hasta 7000 KW y porcentual de acuerdo a la Categoría T1, T2 y T3.	Alimentos, Bebidas, Madera, Papel, Edición e Impresión, Productos De Metal, Productos Minerales No Metálicos	Aserradero Granton, Aserradero Crafi, FORLOG S.R.L. (Ursini, Diego), Soc. Impregnadora del este S.R.L., Impregnadora Abdala, Aserradero San Carlos, Jose Albors, EGGER S.A.U. (ExMAserrasisa SA), FOMET Sudamericana S.A., Lare S.A., ConcorFood S.A., VERTISOLES, FEEDER S.R.L., Frigorífico Passarello, Metalurgica Pizzini, Panstrade S.A. (Ex Fercher S.A.), Vecchio S.R.L., Precon S.R.L. (Premoldeados concordia), Prelit S.A., Prosegur S.A., Resinas Concordia S.A., Computec S.R.L., Block S.R.L., Aberturas Grantón S.R.L., FEEDER S.R.L. (ampliación), HELAR SAS, Guerrero Electricidad, Zumo Natural S.A., Fábrica de carrocerías Pedroni Andres, LDI CARGAS	10	TRUE	4.54054054054054	5.45945945945946	100	12.214634146341464
Parque Industrial Crespo	Paraná	-32.00469027	-60.31472438	https://parquesindustriales.entrerios.gov.ar/parques/4	Agustin Lopez Muller	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12	Puerto Diamante: 30 km. | Aeropuesrto Gral. J.J. de Urquiza (Paraná): 40 km.	74	0	10	29	19	3	890	13.5	1	1	1	1	1	1	1	1	1	1	NA	Exención en tributos municipales por cinco años desde la habilitación municipal y descuentos en los mismos durante otros cinco años más.	Alimentos, Bebidas, Madera, Papel, Edición e Impresión, Productos De Caucho y Plástico, Productos Minerales No Metálicos, Productos De Metal	MACYJ S.R.L., Don Solano S.R.L., Campagnoni Ricardo Celestino, Eichmann Nelson Omar, Fuchs Nelson - Lell Horacio, Carrocerias Hugo Graas, Holzehier Muebles, Korb Ricardo, La Agrícola Regional Coop. Ltda., Leichner Maximiliano Emanuel, Laste Nelson Gabriel, Micieslao Trembecki e Hijos S.R.L., Agropecuaria Crespo, Muebleria Dorrego S.R.L., Frigorífico Santa Isabel, Producir S.R.L., Pallets El Aguara, Schneider S.R.L., Herreria NS, Industria Metalúrgica Sak E Hijos S.R.L., Tecnovo S.A., Todo Helado S.R.L., Steinle Manuel Oscar, Todo Limp, Julicroc S.A., Crespo Hormigones, Construcciones Wagner S.R.L., Neostone S.A., Agro Gottig	10	TRUE	4.54054054054054	5.45945945945946	74	10.439024390243903
Parque Industrial Concepción del Uruguay	Uruguay	-32.491471	-58.308145	https://parquesindustriales.entrerios.gov.ar/parques/5	Diego Gaillard	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre autovía Ruta Nacional Nº 14 y Ruta Provincial Nº 39	Puerto Concepción del Uruguay: 8 km. | Aeródromo Concepción del Uruguay: 5 km.	88	116	5.5	28	10	9	650	6.2	1	1	1	1	1	1	1	1	1	1	NA	Lotes con porcentajes de pagos en base a objetivos de radicación. Exención de 10 años de THI (Tasa municipal). Impuestos provinciales.	Alimentos, Productos De Caucho y Plástico, Productos De Metal, Maquinaria y Equipo, Vehículos y Material de Transporte	MCH (Metalúrgica Cabrera e Hijos), Lambert, Lincar, Insuma, Inmobal Nutrer, Bionet, Paclamar, Coop. Apícola Río de los Pájaros, Aqua Fun	10	TRUE	4.54054054054054	5.45945945945946	88	11.395121951219512
Parque Industrial Pronunciamiento	Uruguay	-32.292087	-58.446568	https://parquesindustriales.entrerios.gov.ar/parques/6	Valentin Droz	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Provincial Nº 23	Puerto Concepción del Uruguay: 30 km | Aeródromo Concepción del Uruguay: 30 km	38	31	10	1	1	1	430	26.3	0	1	1	0	0	0	1	1	1	1	NA	Valor del m2 promocional por reglamento.	NA	Fadel SA	6	TRUE	4.54054054054054	1.4594594594594597	38	7.980487804878049
Parque Industrial Viale	Paraná	-31.8984	-60.0151	https://parquesindustriales.entrerios.gov.ar/parques/7	ALBANO SALCEDO +54 9 343 6100506	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Provincial N° 32. | A 9 km de Ruta Nacional N°18. | A 31 km de Rutas Nacionales N° 12 y N° 131	Puerto Diamante: 70 km. | Puerto Rosario: 195 km. | Aeropuesrto Gral. J.J. de Urquiza (Paraná): 56 km	NA	NA	20	9	6	4	270	NA	1	0	1	0	1	1	1	1	1	1	Alimentos, Madera, Papel, Edición e Impresión, Sustancias y Productos Químicos, etc.	Obtención de lotes en forma gratuita, distintas superficies con dimensiones adecuadas para cualquier requerimiento. Cada industria en radicarse será beneficiaria de exenciones tributarias tales como tasa general inmobiliaria; tasa por inspecciones sanitarias, higiene, profilaxis y seguridad; por publicidad y propaganda; por obras sanitarias; por construcción; por actuaciones administrativas y por sellados. Todo ello en un 100% de exenciones los primeros 5 años, en un 60% el sexto, séptimo y octavo año, y en un 30% el noveno y el décimo.	Alimenticia, Madera, papel, edición e impresión, Sustancias y productos químicos, Industrias metálicas básicas, Maquinaria y equipo, Combustibles y energía	Faenar S.A., Sys Sa, Eduardo Stertz eHijos S.R.L., Seiler Termoplásticas, La Blanquita S.R.L., Oscar Bolzan Construcciones S.R.L., Industrias Metalúrgicas Fontana S.R.L., Tecon, Metalúrgica Schepens S.R.L., Municipalidad de Viale, Aggreko Argentina S.R.L.	8	TRUE	4.54054054054054	3.4594594594594597	42	8.253658536585366
Parque Industrial Urdinarrain	Gualeguaychú	-32.703	-58.8566	https://parquesindustriales.entrerios.gov.ar/parques/8	Juan Villaverde +54 3446 655178	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Provincial Nº 20	Club Planeadores de Urdinarrain: 5 km. | Aeródromo Gualeguaychú: 55 km. | Puerto Concepción del Uruguay: 100 km. | Puerto Ibicuy: 127 km.	NA	NA	2	14	2	1	175	NA	1	1	1	1	1	1	1	1	1	1	Balanza, S.U.M y Centros de capacitación disponible para las empresas que se radican, Cursos periódicos de seguridad e higiene, etc.	El valor del metro cuadrado de parcela tiene un valor promocional, los mismos pueden ser financiados en cuotas	Alimentos, Madera, Papel, Edición e Impresión, Sustancias y Productos Químicos, Productos Minerales No Metálicos, Industrias Metálicas, Servicios Lógisticos y Transporte	Adalid, Reposeras Solcito, Agrosem S.R.L., Berardo Agropecuaria S.R.L., Spiazzi Fabian, Deriplast S.A., Cooperativa Fed Agr Gan De Urdinarrain Ltda, De Zan Hermanos S.R.L., Kindscheff Argentina S.R.L., Avegrand S.A., Vital Campo, Agrother S.R.L., Ramiro Fabian Elola	10	TRUE	4.54054054054054	5.45945945945946	42	8.253658536585366
Área Industrial Chajarí	Federación	-30.798778	-58.035142	https://parquesindustriales.entrerios.gov.ar/parques/9	Ing. Gabriel Guiano	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Autovía Nacional Nº 14	Puerto Concepción del Uruguay: 211 km. | Aeropuerto Concordia: 90 km	60	31	7	20	NA	4	150	11.7	1	0	0	0	0	0	1	1	1	1	NA	No tiene	Alimentos, Bebidas, Madera, Papel, Edición e Impresión, Productos De Metal	Ambar S.R.L., Citrus Ana-Vir S.R.L., Hormigones Concepción, Gran Mandisovi S.A., C&E Maderas, El Carmen S.A., Recuparts Chajarí, Marmolería Chajarí, Helados Bahía, Apícola La Borraja, Colmenares Engelman S.R.L., Aserradero Furlon Borda S.R.L., Guiden S.A., Maderas Enzo, Mela Federico Licas, Metalúrgica Walder	5	FALSE	4.54054054054054	0.45945945945945965	60	9.482926829268292
Parque Industrial Villaguay	Villaguay	-31.80965955	-59.05482602	https://parquesindustriales.entrerios.gov.ar/parques/10	Horacio Manzato	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 18	Puerto Ibicuy: 260 km. | Puerto Concepción del Uruguay: 130 km. | Aeroclub Villaguay: 5 km	96	NA	50	11	2	2	150	52.1	1	1	0	1	1	1	1	1	0	1	NA	Loteos por proyecto industrial (sin costo) se otorga la titularidad de la tierra con el cumplimento del proyecto. Exención de tasas municipales y ley provincial	Sustancias y Productos Químicos, Productos Minerales No Metálicos, Maquinaria y Equipo, Combustibles y Energía	Molino Centro S.R.L. (Culminante), Molino Centro S.R.L. (Corralero), Auqui Sa (Ex Cotrasep S.R.L.), Las Camelias S.A., El Cerco S.R.L., Dirección Provincial de Vialidad, La Martona, Apícola Ventura, Seinagro (Favre Diego José), Minatta Roberto J, Cayón Horacio R Y Gonzalez Fernando J Asoc. Simple, Campo Fertil S.R.L.	8	TRUE	4.54054054054054	3.4594594594594597	96	11.941463414634146
